InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales,Month,DayOfWeek,Hour
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,2011-03-01 09:35:00,0.85,12428,Finland,20.4,March,Tuesday,9
569026,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-30 10:18:00,2.08,16101,United Kingdom,20.8,September,Friday,10
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,2010-12-09 17:27:00,6.75,17841,United Kingdom,13.5,December,Thursday,17
572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,2011-10-25 15:03:00,1.65,13871,United Kingdom,19.799999999999997,October,Tuesday,15
552828,22046,TEA PARTY  WRAPPING PAPER ,25,2011-05-11 13:23:00,0.42,13662,United Kingdom,10.5,May,Wednesday,13
575922,23225,CHERUB HEART DECORATION SILVER ,24,2011-11-11 17:10:00,0.83,15681,United Kingdom,19.919999999999998,November,Friday,17
560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2011-07-17 14:05:00,3.25,13880,United Kingdom,13.0,July,Sunday,14
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,2011-03-06 15:17:00,6.75,17107,United Kingdom,67.5,March,Sunday,15
567656,51014A,"FEATHER PEN,HOT PINK",26,2011-09-21 14:40:00,0.83,14096,United Kingdom,21.58,September,Wednesday,14
575063,35970,ZINC FOLKART SLEIGH BELLS,3,2011-11-08 12:32:00,1.69,16764,United Kingdom,5.07,November,Tuesday,12
556917,22659,LUNCH BOX I LOVE LONDON,128,2011-06-15 13:37:00,1.65,12415,Australia,211.2,June,Wednesday,13
538449,82599,FANNY'S REST STOPMETAL SIGN,2,2010-12-12 12:24:00,2.1,17085,United Kingdom,4.2,December,Sunday,12
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,2010-12-01 13:23:00,3.75,15485,United Kingdom,33.75,December,Wednesday,13
562377,23165,LARGE CERAMIC TOP STORAGE JAR,6,2011-08-04 15:04:00,1.65,14535,United Kingdom,9.899999999999999,August,Thursday,15
568144,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,2011-09-25 11:29:00,1.65,14005,United Kingdom,16.5,September,Sunday,11
554016,21916,SET 12 RETRO WHITE CHALK STICKS,6,2011-05-20 13:14:00,0.42,13243,United Kingdom,2.52,May,Friday,13
550512,22523,CHILDS GARDEN FORK PINK,2,2011-04-18 16:31:00,0.85,18069,United Kingdom,1.7,April,Monday,16
572669,22416,SET OF 36 SPACEBOY PAPER DOILIES,1,2011-10-25 13:10:00,1.45,16549,United Kingdom,1.45,October,Tuesday,13
553504,47590B,PINK HAPPY BIRTHDAY BUNTING,3,2011-05-17 13:26:00,5.45,13310,United Kingdom,16.35,May,Tuesday,13
565117,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2011-09-01 11:33:00,1.69,13089,United Kingdom,67.6,September,Thursday,11
566422,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2011-09-12 13:56:00,6.95,13064,United Kingdom,27.8,September,Monday,13
536593,22366,DOORMAT AIRMAIL ,2,2010-12-01 17:15:00,7.95,16835,United Kingdom,15.9,December,Wednesday,17
578041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-11-22 14:23:00,4.25,17338,United Kingdom,12.75,November,Tuesday,14
553525,21385,IVORY HANGING DECORATION  HEART,24,2011-05-17 14:50:00,0.85,16266,United Kingdom,20.4,May,Tuesday,14
548728,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-04-04 09:55:00,1.95,13198,United Kingdom,15.6,April,Monday,9
551660,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,2011-05-03 12:16:00,0.83,15271,United Kingdom,9.959999999999999,May,Tuesday,12
555383,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2011-06-02 15:13:00,1.65,12517,Germany,8.25,June,Thursday,15
578998,21810,CHRISTMAS HANGING STAR WITH BELL,1,2011-11-27 16:05:00,0.39,15436,United Kingdom,0.39,November,Sunday,16
557233,22561,WOODEN SCHOOL COLOURING SET,3,2011-06-17 14:44:00,1.65,15356,United Kingdom,4.949999999999999,June,Friday,14
558232,21927,BLUE/CREAM STRIPE CUSHION COVER ,2,2011-06-27 14:30:00,1.25,17841,United Kingdom,2.5,June,Monday,14
543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2011-02-02 14:36:00,2.55,15421,United Kingdom,15.299999999999999,February,Wednesday,14
575070,23427,STOOL HOME SWEET HOME ,2,2011-11-08 12:58:00,12.5,17841,United Kingdom,25.0,November,Tuesday,12
544322,79000,MOROCCAN TEA GLASS,24,2011-02-17 15:50:00,0.85,14211,United Kingdom,20.4,February,Thursday,15
570019,23501,KEY RING BASEBALL BOOT UNION JACK,1,2011-10-07 10:13:00,1.25,17841,United Kingdom,1.25,October,Friday,10
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,2011-05-19 17:47:00,9.95,12353,Bahrain,39.8,May,Thursday,17
579619,21174,POTTERING IN THE SHED METAL SIGN,12,2011-11-30 12:10:00,2.08,18241,United Kingdom,24.96,November,Wednesday,12
559200,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-07-07 10:36:00,2.1,13291,United Kingdom,2.1,July,Thursday,10
540464,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,2011-01-07 13:17:00,3.81,14298,United Kingdom,30.48,January,Friday,13
548336,15036,ASSORTED COLOURS SILK FAN,600,2011-03-30 14:06:00,0.65,13082,United Kingdom,390.0,March,Wednesday,14
575051,21623,VINTAGE UNION JACK MEMOBOARD,2,2011-11-08 12:14:00,9.95,15957,United Kingdom,19.9,November,Tuesday,12
568095,90201B,BLACK ENAMEL FLOWER RING,6,2011-09-23 14:49:00,2.95,14911,EIRE,17.700000000000003,September,Friday,14
544646,71038,WHITE HANGING BEADS CANDLE HOLDER,4,2011-02-22 12:06:00,5.45,17075,United Kingdom,21.8,February,Tuesday,12
542112,22423,REGENCY CAKESTAND 3 TIER,2,2011-01-25 13:55:00,12.75,13168,United Kingdom,25.5,January,Tuesday,13
566203,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-09-09 14:47:00,1.25,16362,United Kingdom,15.0,September,Friday,14
578290,22670,FRENCH WC SIGN BLUE METAL,12,2011-11-23 14:07:00,1.25,13644,United Kingdom,15.0,November,Wednesday,14
547202,22652,TRAVEL SEWING KIT,1,2011-03-21 13:38:00,1.65,17841,United Kingdom,1.65,March,Monday,13
540114,84030E,ENGLISH ROSE HOT WATER BOTTLE,8,2011-01-05 09:44:00,4.25,15498,United Kingdom,34.0,January,Wednesday,9
573909,22913,RED COAT RACK PARIS FASHION,1,2011-11-01 15:26:00,4.95,17813,United Kingdom,4.95,November,Tuesday,15
576611,23084,RABBIT NIGHT LIGHT,10,2011-11-15 16:29:00,2.08,17357,United Kingdom,20.8,November,Tuesday,16
538658,84360,TABLE LAMP WHITE SHADE WOOD BASE,2,2010-12-13 15:34:00,5.95,17969,United Kingdom,11.9,December,Monday,15
541181,22502,PICNIC BASKET WICKER SMALL,16,2011-01-14 11:50:00,4.95,12877,United Kingdom,79.2,January,Friday,11
577498,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-11-20 12:22:00,3.75,15906,United Kingdom,3.75,November,Sunday,12
549682,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2011-04-11 13:22:00,0.85,12596,Spain,10.2,April,Monday,13
546396,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,4,2011-03-11 14:35:00,2.1,13226,United Kingdom,8.4,March,Friday,14
567959,23205,CHARLOTTE BAG VINTAGE ALPHABET ,20,2011-09-23 09:13:00,0.85,12516,Germany,17.0,September,Friday,9
579093,20963,APPLE BATH SPONGE,50,2011-11-28 10:54:00,1.25,13081,United Kingdom,62.5,November,Monday,10
563404,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,8,2011-08-16 11:04:00,3.75,16303,United Kingdom,30.0,August,Tuesday,11
568869,23288,GREEN VINTAGE SPOT BEAKER,8,2011-09-29 12:01:00,0.85,12957,United Kingdom,6.8,September,Thursday,12
558096,21851,LILAC DIAMANTE PEN IN GIFT BOX,2,2011-06-26 13:24:00,4.95,15532,United Kingdom,9.9,June,Sunday,13
570637,22338,STAR DECORATION PAINTED ZINC ,96,2011-10-11 12:34:00,0.19,12530,Germany,18.240000000000002,October,Tuesday,12
566195,21877,HOME SWEET HOME MUG,12,2011-09-09 13:44:00,1.25,12433,Norway,15.0,September,Friday,13
559542,23266,SET OF 3 WOODEN STOCKING DECORATION,2,2011-07-10 13:32:00,1.25,17126,United Kingdom,2.5,July,Sunday,13
555602,47504K,ENGLISH ROSE GARDEN SECATEURS,12,2011-06-06 11:26:00,1.95,16235,United Kingdom,23.4,June,Monday,11
565331,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,2011-09-02 13:59:00,1.25,16674,United Kingdom,15.0,September,Friday,13
540121,22610,PENS ASSORTED FUNNY FACE,36,2011-01-05 10:35:00,0.21,16145,United Kingdom,7.56,January,Wednesday,10
555590,21668,RED STRIPE CERAMIC DRAWER KNOB,24,2011-06-06 09:39:00,1.25,17690,United Kingdom,30.0,June,Monday,9
557466,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,2011-06-20 13:08:00,4.15,13815,Germany,24.900000000000002,June,Monday,13
537469,22112,CHOCOLATE HOT WATER BOTTLE,24,2010-12-07 10:43:00,4.25,17720,United Kingdom,102.0,December,Tuesday,10
578307,22630,DOLLY GIRL LUNCH BOX,2,2011-11-23 15:53:00,1.95,17290,United Kingdom,3.9,November,Wednesday,15
543979,85114A,BLACK ENCHANTED FOREST PLACEMAT,5,2011-02-14 15:43:00,1.65,14606,United Kingdom,8.25,February,Monday,15
580881,23199,JUMBO BAG APPLES,10,2011-12-06 12:19:00,2.08,16620,United Kingdom,20.8,December,Tuesday,12
549557,22990,COTTON APRON PANTRY DESIGN,3,2011-04-10 12:59:00,4.95,14450,United Kingdom,14.850000000000001,April,Sunday,12
560576,22295,HEART FILIGREE DOVE LARGE,6,2011-07-19 14:59:00,1.65,17287,United Kingdom,9.899999999999999,July,Tuesday,14
548567,23078,ICE CREAM PEN LIP GLOSS ,24,2011-04-01 10:34:00,1.25,17965,United Kingdom,30.0,April,Friday,10
549250,85144,JARDIN ETCHED GLASS CHEESE DISH,1,2011-04-07 12:10:00,1.95,14446,United Kingdom,1.95,April,Thursday,12
552325,23206,LUNCH BAG APPLE DESIGN,10,2011-05-09 09:47:00,1.65,12490,France,16.5,May,Monday,9
546643,85150,LADIES & GENTLEMEN METAL SIGN,6,2011-03-15 13:23:00,2.55,16214,United Kingdom,15.299999999999999,March,Tuesday,13
554842,22568,FELTCRAFT CUSHION OWL,4,2011-05-26 18:17:00,3.75,14740,United Kingdom,15.0,May,Thursday,18
547962,21714,CITRONELLA CANDLE GARDEN POT,12,2011-03-28 15:38:00,1.25,12957,United Kingdom,15.0,March,Monday,15
579161,23493,VINTAGE DOILY TRAVEL SEWING KIT,5,2011-11-28 13:56:00,1.95,17379,United Kingdom,9.75,November,Monday,13
550438,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-04-18 12:16:00,8.5,15265,United Kingdom,17.0,April,Monday,12
544724,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2011-02-23 10:46:00,2.1,15605,United Kingdom,50.400000000000006,February,Wednesday,10
580505,23350,ROLL WRAP VINTAGE SPOT ,4,2011-12-04 13:32:00,1.25,15867,United Kingdom,5.0,December,Sunday,13
580504,23079,TOADSTOOL BEDSIDE LIGHT ,1,2011-12-04 13:32:00,8.95,17936,United Kingdom,8.95,December,Sunday,13
562928,84926D,LA PALMIERA TILE COASTER,24,2011-08-10 15:29:00,0.29,15494,United Kingdom,6.959999999999999,August,Wednesday,15
559557,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2011-07-11 10:33:00,2.08,17444,Canada,24.96,July,Monday,10
572472,22553,PLASTERS IN TIN SKULLS,12,2011-10-24 13:34:00,1.65,14139,United Kingdom,19.799999999999997,October,Monday,13
572509,23203,JUMBO BAG VINTAGE DOILY ,2,2011-10-24 14:25:00,2.08,17004,United Kingdom,4.16,October,Monday,14
567805,23333,IVORY WICKER HEART MEDIUM,2,2011-09-22 12:15:00,1.25,12854,United Kingdom,2.5,September,Thursday,12
570855,22818,CARD CHRISTMAS VILLAGE,12,2011-10-12 14:56:00,0.42,17314,United Kingdom,5.04,October,Wednesday,14
573300,23570,TRADITIONAL PICK UP STICKS GAME ,1,2011-10-28 16:10:00,1.25,16049,United Kingdom,1.25,October,Friday,16
558758,21394,RED POLKADOT BEAKER ,1,2011-07-03 12:27:00,0.39,17939,United Kingdom,0.39,July,Sunday,12
563477,23292,SPACEBOY CHILDRENS CUP,1,2011-08-16 15:39:00,1.25,17097,Spain,1.25,August,Tuesday,15
537372,22837,HOT WATER BOTTLE BABUSHKA ,2,2010-12-06 12:52:00,4.65,16919,United Kingdom,9.3,December,Monday,12
551142,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,4,2011-04-26 13:22:00,0.83,17613,United Kingdom,3.32,April,Tuesday,13
580134,20668,DISCO BALL CHRISTMAS DECORATION,24,2011-12-01 19:24:00,0.12,13102,United Kingdom,2.88,December,Thursday,19
557123,22998,TRAVEL CARD WALLET KEEP CALM,10,2011-06-16 17:56:00,0.42,15555,United Kingdom,4.2,June,Thursday,17
547708,82551,LAUNDRY 15C METAL SIGN,288,2011-03-24 18:34:00,1.7,17450,United Kingdom,489.59999999999997,March,Thursday,18
555633,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,2011-06-06 12:22:00,2.95,14534,United Kingdom,5.9,June,Monday,12
545812,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,2011-03-07 12:26:00,1.65,14214,United Kingdom,19.799999999999997,March,Monday,12
550512,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,1,2011-04-18 16:31:00,0.65,18069,United Kingdom,0.65,April,Monday,16
569702,21899,GARAGE KEY FOB,1,2011-10-05 16:09:00,0.65,14396,United Kingdom,0.65,October,Wednesday,16
580903,22199,FRYING PAN RED RETROSPOT,1,2011-12-06 12:56:00,1.25,14606,United Kingdom,1.25,December,Tuesday,12
539466,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",20,2010-12-19 12:46:00,0.42,12668,Germany,8.4,December,Sunday,12
570252,23426,METAL SIGN DROP YOUR PANTS,6,2011-10-10 09:14:00,2.89,14665,United Kingdom,17.34,October,Monday,9
574653,22079,RIBBON REEL HEARTS DESIGN ,10,2011-11-06 11:30:00,1.65,12619,Germany,16.5,November,Sunday,11
547921,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-03-28 13:28:00,1.25,14766,United Kingdom,15.0,March,Monday,13
579520,23320,GIANT 50'S CHRISTMAS CRACKER,1,2011-11-29 18:14:00,2.89,12748,United Kingdom,2.89,November,Tuesday,18
575303,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-11-09 12:34:00,1.65,12893,United Kingdom,1.65,November,Wednesday,12
540809,21901,"KEY FOB , BACK DOOR ",24,2011-01-11 12:37:00,0.65,18095,United Kingdom,15.600000000000001,January,Tuesday,12
578852,21137,BLACK RECORD COVER FRAME,1,2011-11-27 11:12:00,3.75,17841,United Kingdom,3.75,November,Sunday,11
580289,23349,ROLL WRAP VINTAGE CHRISTMAS,1,2011-12-02 13:32:00,1.25,15856,United Kingdom,1.25,December,Friday,13
575324,22866,HAND WARMER SCOTTY DOG DESIGN,12,2011-11-09 13:45:00,2.1,14240,United Kingdom,25.200000000000003,November,Wednesday,13
567880,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2011-09-22 14:56:00,2.55,15398,United Kingdom,15.299999999999999,September,Thursday,14
547514,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,2011-03-23 14:00:00,2.95,17486,United Kingdom,17.700000000000003,March,Wednesday,14
556484,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,2011-06-12 13:17:00,2.55,16938,United Kingdom,15.299999999999999,June,Sunday,13
568531,22915,ASSORTED BOTTLE TOP  MAGNETS ,18,2011-09-27 13:49:00,0.42,16713,United Kingdom,7.56,September,Tuesday,13
570598,22592,CARDHOLDER HOLLY WREATH METAL,4,2011-10-11 11:55:00,3.75,14175,United Kingdom,15.0,October,Tuesday,11
569230,46000M,POLYESTER FILLER PAD 45x45cm,4,2011-10-02 15:07:00,1.55,16533,United Kingdom,6.2,October,Sunday,15
542423,22951,60 CAKE CASES DOLLY GIRL DESIGN,48,2011-01-28 09:09:00,0.55,15057,United Kingdom,26.400000000000002,January,Friday,9
570404,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,2011-10-10 12:50:00,2.08,16395,United Kingdom,2.08,October,Monday,12
550911,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,2011-04-21 13:11:00,0.85,12354,Spain,8.5,April,Thursday,13
566041,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,12,2011-09-08 13:48:00,1.45,13814,Germany,17.4,September,Thursday,13
574475,21544,SKULLS  WATER TRANSFER TATTOOS ,12,2011-11-04 12:18:00,0.85,14132,United Kingdom,10.2,November,Friday,12
550035,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,30,2011-04-14 11:48:00,2.08,15039,United Kingdom,62.400000000000006,April,Thursday,11
549257,84725,FREESTYLE CANVAS ART PICTURE,1,2011-04-07 12:29:00,1.65,14465,United Kingdom,1.65,April,Thursday,12
556072,47590B,PINK HAPPY BIRTHDAY BUNTING,6,2011-06-08 14:57:00,5.45,16126,United Kingdom,32.7,June,Wednesday,14
557295,POST,POSTAGE,1,2011-06-19 13:37:00,18.0,12724,France,18.0,June,Sunday,13
571937,23174,REGENCY SUGAR BOWL GREEN,4,2011-10-20 09:28:00,4.15,14911,EIRE,16.6,October,Thursday,9
564642,22536,MAGIC DRAWING SLATE PURDEY,24,2011-08-26 13:22:00,0.42,13527,United Kingdom,10.08,August,Friday,13
565472,79321,CHILLI LIGHTS,2,2011-09-05 10:15:00,5.75,16255,United Kingdom,11.5,September,Monday,10
542208,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2011-01-26 11:35:00,0.42,16422,United Kingdom,50.4,January,Wednesday,11
580126,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,2011-12-01 17:20:00,1.95,12562,France,19.5,December,Thursday,17
541302,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-01-17 14:18:00,0.85,13769,United Kingdom,10.2,January,Monday,14
553490,90014B,GOLD M PEARL  ORBIT NECKLACE,1,2011-05-17 12:44:00,9.95,13309,United Kingdom,9.95,May,Tuesday,12
540639,22439,6 ROCKET BALLOONS ,24,2011-01-10 12:28:00,0.65,13107,United Kingdom,15.600000000000001,January,Monday,12
561894,84731,3 BIRDS CANVAS SCREEN,1,2011-07-31 15:00:00,0.39,14456,United Kingdom,0.39,July,Sunday,15
561874,22631,CIRCUS PARADE LUNCH BOX ,1,2011-07-31 12:02:00,1.95,16255,United Kingdom,1.95,July,Sunday,12
571035,20725,LUNCH BAG RED RETROSPOT,10,2011-10-13 12:50:00,1.65,12446,RSA,16.5,October,Thursday,12
557012,21469,POLKA DOT RAFFIA FOOD COVER,6,2011-06-16 11:51:00,3.75,18241,United Kingdom,22.5,June,Thursday,11
540550,37444C,PINK BREAKFAST CUP AND SAUCER ,4,2011-01-10 09:11:00,2.95,12539,Spain,11.8,January,Monday,9
570671,22077,6 RIBBONS RUSTIC CHARM,12,2011-10-11 14:51:00,1.95,16171,United Kingdom,23.4,October,Tuesday,14
541711,21217,RED RETROSPOT ROUND CAKE TINS,12,2011-01-21 11:18:00,8.95,14646,Netherlands,107.39999999999999,January,Friday,11
556886,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,2011-06-15 12:34:00,0.85,12624,France,10.2,June,Wednesday,12
580138,23489,VINTAGE BELLS GARLAND,24,2011-12-02 08:55:00,2.89,13199,United Kingdom,69.36,December,Friday,8
556490,23049,RECYCLED ACAPULCO MAT RED,2,2011-06-12 14:08:00,8.25,13078,United Kingdom,16.5,June,Sunday,14
580094,23394,POSTE FRANCE CUSHION COVER,2,2011-12-01 14:50:00,3.75,15904,United Kingdom,7.5,December,Thursday,14
568322,23049,RECYCLED ACAPULCO MAT RED,1,2011-09-26 13:41:00,8.25,15958,United Kingdom,8.25,September,Monday,13
569862,23503,PLAYING CARDS KEEP CALM & CARRY ON,1,2011-10-06 14:43:00,1.25,14518,United Kingdom,1.25,October,Thursday,14
548490,85066,CREAM SWEETHEART MINI CHEST,4,2011-03-31 13:13:00,12.75,12909,United Kingdom,51.0,March,Thursday,13
544695,20728,LUNCH BAG CARS BLUE,10,2011-02-23 09:38:00,1.65,14276,United Kingdom,16.5,February,Wednesday,9
567300,POST,POSTAGE,3,2011-09-19 12:36:00,18.0,12724,France,54.0,September,Monday,12
544484,21592,RETROSPOT CIGAR BOX MATCHES ,24,2011-02-21 11:10:00,1.25,15321,United Kingdom,30.0,February,Monday,11
553946,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-05-20 10:48:00,2.95,15601,United Kingdom,17.700000000000003,May,Friday,10
540414,22894,TABLECLOTH RED APPLES DESIGN ,2,2011-01-07 10:32:00,8.5,12481,Germany,17.0,January,Friday,10
557514,22077,6 RIBBONS RUSTIC CHARM,3,2011-06-20 16:58:00,1.65,14667,United Kingdom,4.949999999999999,June,Monday,16
566482,23403,LETTER HOLDER HOME SWEET HOME,4,2011-09-13 09:43:00,3.75,16609,United Kingdom,15.0,September,Tuesday,9
555242,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-06-01 13:40:00,1.69,16424,United Kingdom,40.56,June,Wednesday,13
574711,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-11-06 14:20:00,2.95,14517,United Kingdom,17.700000000000003,November,Sunday,14
557762,20726,LUNCH BAG WOODLAND,10,2011-06-22 14:01:00,1.65,15810,United Kingdom,16.5,June,Wednesday,14
549128,22995,TRAVEL CARD WALLET SUKI,36,2011-04-06 14:25:00,0.42,16713,United Kingdom,15.12,April,Wednesday,14
569846,22865,HAND WARMER OWL DESIGN,12,2011-10-06 13:42:00,2.1,13422,United Kingdom,25.200000000000003,October,Thursday,13
540856,22849,BREAD BIN DINER STYLE MINT,4,2011-01-12 10:16:00,14.95,16655,United Kingdom,59.8,January,Wednesday,10
537852,21874,GIN AND TONIC MUG,12,2010-12-08 15:56:00,1.25,17340,United Kingdom,15.0,December,Wednesday,15
567656,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-09-21 14:40:00,8.29,14096,United Kingdom,8.29,September,Wednesday,14
553350,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-05-16 13:32:00,1.25,12871,United Kingdom,15.0,May,Monday,13
552894,21888,BINGO SET,1,2011-05-12 10:53:00,3.75,14606,United Kingdom,3.75,May,Thursday,10
560125,23319,BOX OF 6 MINI 50'S CRACKERS,1,2011-07-15 10:44:00,2.49,18118,United Kingdom,2.49,July,Friday,10
537160,22694,WICKER STAR ,3,2010-12-05 13:18:00,2.1,14161,United Kingdom,6.300000000000001,December,Sunday,13
549185,22978,PANTRY ROLLING PIN,6,2011-04-07 09:35:00,3.75,18272,United Kingdom,22.5,April,Thursday,9
579539,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-11-30 10:06:00,2.95,14911,EIRE,17.700000000000003,November,Wednesday,10
567200,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-09-19 10:15:00,0.55,16460,United Kingdom,13.200000000000001,September,Monday,10
552315,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2011-05-08 16:10:00,0.85,12700,France,10.2,May,Sunday,16
547251,21169,YOU'RE CONFUSING ME METAL SIGN ,12,2011-03-22 09:43:00,1.69,17865,United Kingdom,20.28,March,Tuesday,9
